result,reason,wave,score,turns,gold_left,tier,army,seed,shop_open,shop_buy,sell,convert,item_use,artefact_activate,army_ability,merge,deploy,buff_apply,capture,piece_lost
LOSS,Back-row breach,47,34200,878,8,Tier 1,Crown,1,0,47,0,56,5,0,19,6,135,0,98,133
LOSS,Back-row breach,16,2200,257,0,Tier 1,Wild Hunt,1,0,7,0,4,3,0,13,0,15,0,8,26
WIN,Wave-51 King checkmated,51,200200,1410,11347,Tier 1,Old Guard,1,0,230,0,112,48,0,50,94,321,332,193,246
LOSS,Back-row breach,24,6800,360,0,Tier 1,Syndicate,1,0,19,0,11,2,0,5,1,45,0,24,49
LOSS,Back-row breach,40,41900,694,100,Tier 1,Cult,1,0,54,0,15,29,0,26,12,91,27,59,95
LOSS,Back-row breach,45,19400,929,0,Tier 1,Horde,1,0,57,0,34,12,0,44,7,186,0,68,188
LOSS,Back-row breach,47,34200,878,8,Tier 2,Crown,1,0,47,0,56,5,0,19,6,135,0,98,133
LOSS,Back-row breach,16,2200,257,0,Tier 2,Wild Hunt,1,0,7,0,4,3,0,13,0,15,0,8,26
WIN,Wave-51 King checkmated,51,200200,1410,11347,Tier 2,Old Guard,1,0,230,0,112,48,0,50,94,321,332,193,246
LOSS,Back-row breach,24,6800,360,0,Tier 2,Syndicate,1,0,19,0,11,2,0,5,1,45,0,24,49
LOSS,Back-row breach,40,41900,694,100,Tier 2,Cult,1,0,54,0,15,29,0,26,12,91,27,59,95
LOSS,Back-row breach,45,19400,929,0,Tier 2,Horde,1,0,57,0,34,12,0,44,7,186,0,68,188
LOSS,Back-row breach,20,5500,323,0,Tier 3,Crown,1,0,16,0,13,3,0,8,0,38,0,23,41
LOSS,Back-row breach,24,5800,421,0,Tier 3,Wild Hunt,1,0,17,0,13,5,0,22,0,39,0,22,45
WIN,Wave-104 King checkmated,104,202000,2414,7132,Tier 3,Old Guard,1,0,250,0,327,41,0,100,107,538,573,405,387
LOSS,Back-row breach,18,4400,266,0,Tier 3,Syndicate,1,0,13,0,8,1,0,5,1,29,0,16,31
LOSS,Resource starvation,22,16260,400,0,Tier 3,Cult,1,0,28,0,22,10,0,17,7,61,18,33,69
WIN,Wave-51 King checkmated,51,80400,1648,1040,Tier 3,Horde,1,0,80,0,178,18,0,50,27,379,0,201,347
LOSS,Back-row breach,35,11600,519,0,Tier 4,Crown,1,0,22,0,20,5,0,9,2,65,0,43,63
LOSS,Back-row breach,22,5200,340,0,Tier 4,Wild Hunt,1,0,17,0,8,5,0,18,0,34,0,18,38
WIN,Wave-51 King checkmated,51,93300,1276,1688,Tier 4,Old Guard,1,0,118,0,159,30,0,51,41,296,122,194,231
LOSS,Resource starvation,7,1200,93,0,Tier 4,Syndicate,1,0,1,0,3,0,0,4,0,8,0,4,10
LOSS,Back-row breach,27,10400,418,0,Tier 4,Cult,1,0,17,0,22,3,0,17,3,51,18,34,49
LOSS,Back-row breach,45,22920,869,5,Tier 4,Horde,1,0,44,0,43,7,0,43,10,181,2,74,175
LOSS,Back-row breach,10,2200,96,0,Tier 5,Crown,1,0,7,0,7,2,0,2,0,12,0,9,19
LOSS,Resource starvation,9,400,83,0,Tier 5,Wild Hunt,1,0,1,0,3,2,0,6,0,4,0,4,10
LOSS,Resource starvation,9,600,82,50,Tier 5,Old Guard,1,0,6,0,5,1,0,7,0,11,18,6,16
LOSS,Resource starvation,6,1000,45,0,Tier 5,Syndicate,1,0,0,0,2,0,0,4,0,6,0,2,10
LOSS,Back-row breach,9,800,80,0,Tier 5,Cult,1,0,3,0,4,2,0,7,0,9,8,8,16
LOSS,Resource starvation,8,100,66,3,Tier 5,Horde,1,0,2,0,1,0,0,6,0,15,0,1,22
