result,reason,wave,score,turns,gold_left,tier,army,seed,shop_open,shop_buy,sell,convert,item_use,artefact_activate,army_ability,merge,deploy,buff_apply,capture,piece_lost
LOSS,Back-row breach,16,2700,261,0,Tier 1,Crown,1,0,7,0,12,1,0,5,0,28,0,21,39
LOSS,Back-row breach,31,8500,482,10,Tier 1,Crown,2,0,26,0,18,6,0,8,0,54,0,41,63
LOSS,Back-row breach,33,7000,504,0,Tier 1,Wild Hunt,1,0,14,0,15,4,0,31,1,40,0,32,50
LOSS,Resource starvation,9,500,202,0,Tier 1,Wild Hunt,2,0,1,0,4,2,0,9,0,5,0,5,16
WIN,Wave-52 King checkmated,52,72000,1247,3904,Tier 1,Old Guard,1,0,121,0,129,44,0,48,37,237,331,163,212
WIN,Wave-51 King checkmated,51,81630,1369,1930,Tier 1,Old Guard,2,0,125,0,127,37,0,49,33,237,270,161,203
LOSS,Back-row breach,20,2900,272,0,Tier 1,Syndicate,1,0,9,0,7,0,0,3,0,23,0,15,30
LOSS,Back-row breach,24,4900,334,0,Tier 1,Syndicate,2,0,14,0,7,1,0,5,0,33,0,20,40
LOSS,Resource starvation,37,30100,643,16,Tier 1,Cult,1,0,60,0,31,31,0,23,22,91,24,54,97
LOSS,Back-row breach,19,5000,321,0,Tier 1,Cult,2,0,11,0,18,1,1,15,0,32,33,27,42
CAP,Outlived the step cap,51,24500,8001,0,Tier 1,Horde,1,0,55,0,44,7,0,48,9,201,0,91,213
LOSS,Back-row breach,51,23800,987,0,Tier 1,Horde,2,0,55,0,28,5,0,42,6,173,0,76,187
LOSS,Back-row breach,16,2700,261,0,Tier 2,Crown,1,0,7,0,12,1,0,5,0,28,0,21,39
LOSS,Back-row breach,31,8500,482,10,Tier 2,Crown,2,0,26,0,18,6,0,8,0,54,0,41,63
LOSS,Back-row breach,33,7000,504,0,Tier 2,Wild Hunt,1,0,14,0,15,4,0,31,1,40,0,32,50
LOSS,Resource starvation,9,500,202,0,Tier 2,Wild Hunt,2,0,1,0,4,2,0,9,0,5,0,5,16
WIN,Wave-52 King checkmated,52,72000,1247,3904,Tier 2,Old Guard,1,0,121,0,129,44,0,48,37,237,331,163,212
WIN,Wave-51 King checkmated,51,81630,1369,1930,Tier 2,Old Guard,2,0,125,0,127,37,0,49,33,237,270,161,203
LOSS,Back-row breach,20,2900,272,0,Tier 2,Syndicate,1,0,9,0,7,0,0,3,0,23,0,15,30
LOSS,Back-row breach,24,4900,334,0,Tier 2,Syndicate,2,0,14,0,7,1,0,5,0,33,0,20,40
LOSS,Resource starvation,37,30100,643,16,Tier 2,Cult,1,0,60,0,31,31,0,23,22,91,24,54,97
LOSS,Back-row breach,19,5000,321,0,Tier 2,Cult,2,0,11,0,18,1,1,15,0,32,33,27,42
CAP,Outlived the step cap,51,24500,8001,0,Tier 2,Horde,1,0,55,0,44,7,0,48,9,201,0,91,213
LOSS,Back-row breach,51,23800,987,0,Tier 2,Horde,2,0,55,0,28,5,0,42,6,173,0,76,187
