result,reason,wave,score,turns,gold_left,tier,army,seed,shop_open,shop_buy,sell,convert,item_use,artefact_activate,army_ability,merge,deploy,buff_apply,capture,piece_lost
LOSS,Resource starvation,10,2100,195,0,Tier 1,Crown,1,0,7,8,8,1,0,6,0,21,0,17,32
LOSS,Back-row breach,22,1200,323,10,Tier 1,Wild Hunt,1,0,5,5,3,2,0,18,0,16,0,10,25
LOSS,Resource starvation,24,9600,521,128,Tier 1,Old Guard,1,0,43,11,33,22,0,22,3,74,48,48,80
LOSS,Resource starvation,13,2200,191,0,Tier 1,Syndicate,1,0,9,7,2,0,0,5,0,20,0,10,27
LOSS,Resource starvation,9,1500,158,0,Tier 1,Cult,1,0,2,2,8,1,0,8,0,10,9,10,21
LOSS,Resource starvation,16,2600,297,9,Tier 1,Horde,1,0,10,5,12,0,0,13,3,50,0,18,64
LOSS,Resource starvation,10,2100,195,0,Tier 2,Crown,1,0,7,8,8,1,0,6,0,21,0,17,32
LOSS,Back-row breach,22,1200,323,10,Tier 2,Wild Hunt,1,0,5,5,3,2,0,18,0,16,0,10,25
LOSS,Resource starvation,24,9600,521,128,Tier 2,Old Guard,1,0,43,11,33,22,0,22,3,74,48,48,80
LOSS,Resource starvation,13,2200,191,0,Tier 2,Syndicate,1,0,9,7,2,0,0,5,0,20,0,10,27
LOSS,Resource starvation,9,1500,158,0,Tier 2,Cult,1,0,2,2,8,1,0,8,0,10,9,10,21
LOSS,Resource starvation,16,2600,297,9,Tier 2,Horde,1,0,10,5,12,0,0,13,3,50,0,18,64
LOSS,Resource starvation,9,1000,154,0,Tier 3,Crown,1,0,2,2,8,1,0,2,0,12,0,10,23
LOSS,Resource starvation,8,800,167,0,Tier 3,Wild Hunt,1,0,3,1,4,2,0,6,0,7,0,6,18
WIN,Wave-66 King checkmated,66,236020,1687,7723,Tier 3,Old Guard,1,0,238,14,188,29,0,65,93,391,105,269,336
LOSS,Resource starvation,9,1600,144,0,Tier 3,Syndicate,1,0,5,3,2,0,0,4,1,10,0,6,17
LOSS,Resource starvation,14,5100,272,0,Tier 3,Cult,1,0,10,6,14,2,0,13,1,29,14,21,37
LOSS,Resource starvation,16,3500,301,0,Tier 3,Horde,1,0,12,8,13,1,0,14,3,54,0,23,68
LOSS,Resource starvation,17,4800,305,0,Tier 4,Crown,1,0,12,12,18,3,0,4,1,36,0,31,43
LOSS,Resource starvation,7,500,116,0,Tier 4,Wild Hunt,1,0,2,1,3,2,0,6,0,5,0,5,11
LOSS,Resource starvation,39,24920,870,285,Tier 4,Old Guard,1,0,67,15,48,19,0,39,0,109,60,63,112
LOSS,Resource starvation,7,1200,93,0,Tier 4,Syndicate,1,0,1,0,3,0,0,4,0,8,0,4,12
LOSS,Resource starvation,8,1200,147,0,Tier 4,Cult,1,0,2,3,6,1,0,6,0,10,7,9,16
LOSS,Resource starvation,15,3200,276,0,Tier 4,Horde,1,0,10,8,10,0,0,14,5,49,0,20,56
LOSS,Resource starvation,8,1300,77,10,Tier 5,Crown,1,0,2,2,7,1,0,0,0,9,0,10,16
LOSS,Resource starvation,9,400,83,0,Tier 5,Wild Hunt,1,0,1,0,3,2,0,6,0,4,0,4,10
LOSS,Resource starvation,9,600,82,50,Tier 5,Old Guard,1,0,6,0,5,1,0,7,0,11,18,6,16
LOSS,Resource starvation,6,1000,45,0,Tier 5,Syndicate,1,0,0,0,2,0,0,4,0,6,0,2,10
LOSS,Resource starvation,8,1200,76,20,Tier 5,Cult,1,0,3,3,5,1,0,6,0,8,7,9,15
LOSS,Resource starvation,8,100,66,3,Tier 5,Horde,1,0,2,0,1,0,0,6,0,15,0,1,22
