result,reason,wave,score,turns,gold_left,tier,army,seed,shop_open,shop_buy,sell,convert,item_use,artefact_activate,army_ability,merge,deploy,buff_apply,capture,piece_lost
LOSS,Back-row breach,16,2700,261,0,Tier 1,Crown,1,0,7,0,12,1,0,5,0,28,0,21,39
LOSS,Back-row breach,43,9900,656,0,Tier 1,Wild Hunt,1,0,20,17,19,3,0,36,3,55,0,45,66
WIN,Wave-52 King checkmated,52,72000,1247,3904,Tier 1,Old Guard,1,0,121,0,129,44,0,48,37,237,331,163,212
LOSS,Back-row breach,18,2900,263,0,Tier 1,Syndicate,1,0,9,3,7,0,0,4,0,24,0,15,31
LOSS,Back-row breach,27,17000,455,0,Tier 1,Cult,1,0,29,9,12,11,0,19,4,44,21,30,52
LOSS,Back-row breach,28,3900,481,0,Tier 1,Horde,1,0,19,7,10,3,0,25,1,85,0,23,98
LOSS,Back-row breach,16,2700,261,0,Tier 2,Crown,1,0,7,0,12,1,0,5,0,28,0,21,39
LOSS,Back-row breach,43,9900,656,0,Tier 2,Wild Hunt,1,0,20,17,19,3,0,36,3,55,0,45,66
WIN,Wave-52 King checkmated,52,72000,1247,3904,Tier 2,Old Guard,1,0,121,0,129,44,0,48,37,237,331,163,212
LOSS,Back-row breach,18,2900,263,0,Tier 2,Syndicate,1,0,9,3,7,0,0,4,0,24,0,15,31
LOSS,Back-row breach,27,17000,455,0,Tier 2,Cult,1,0,29,9,12,11,0,19,4,44,21,30,52
LOSS,Back-row breach,28,3900,481,0,Tier 2,Horde,1,0,19,7,10,3,0,25,1,85,0,23,98
LOSS,Back-row breach,30,9300,518,0,Tier 3,Crown,1,0,25,20,21,7,0,11,4,60,0,49,70
LOSS,Back-row breach,42,7400,694,0,Tier 3,Wild Hunt,1,0,26,18,12,5,0,37,0,52,0,38,61
WIN,Wave-51 King checkmated,51,77300,1337,3611,Tier 3,Old Guard,1,0,120,0,168,39,0,51,34,265,101,197,237
LOSS,Back-row breach,16,3300,247,0,Tier 3,Syndicate,1,0,10,1,8,0,0,5,1,25,0,15,32
LOSS,Back-row breach,18,6540,303,0,Tier 3,Cult,1,0,15,2,13,6,0,14,1,29,15,20,37
LOSS,Back-row breach,51,68780,1308,1,Tier 3,Horde,1,0,95,14,120,24,0,51,44,305,11,176,316
LOSS,Back-row breach,20,2600,277,0,Tier 4,Crown,1,0,7,0,10,2,0,3,0,23,0,17,30
LOSS,Back-row breach,23,3300,347,0,Tier 4,Wild Hunt,1,0,15,5,7,4,0,19,1,27,0,19,33
WIN,Wave-51 King checkmated,51,87560,1513,6543,Tier 4,Old Guard,1,0,126,0,165,34,0,50,42,266,121,194,240
LOSS,Resource starvation,7,1200,93,0,Tier 4,Syndicate,1,0,1,0,3,0,0,4,0,8,0,4,12
LOSS,Resource starvation,43,96700,1012,16,Tier 4,Cult,1,0,118,3,75,29,0,41,36,201,130,123,200
CAP,Outlived the step cap,51,36550,8001,0,Tier 4,Horde,1,0,73,35,45,11,0,50,30,224,0,115,230
LOSS,Back-row breach,10,1200,92,0,Tier 5,Crown,1,0,2,0,7,1,0,1,0,10,0,9,17
LOSS,Resource starvation,9,400,83,0,Tier 5,Wild Hunt,1,0,1,0,3,2,0,6,0,4,0,4,10
LOSS,Resource starvation,9,600,82,50,Tier 5,Old Guard,1,0,6,0,5,1,0,7,0,11,18,6,16
LOSS,Resource starvation,6,1000,45,0,Tier 5,Syndicate,1,0,0,0,2,0,0,4,0,6,0,2,10
LOSS,Back-row breach,9,800,80,0,Tier 5,Cult,1,0,3,0,4,2,0,7,0,9,8,8,16
LOSS,Resource starvation,8,100,66,3,Tier 5,Horde,1,0,2,0,1,0,0,6,0,15,0,1,22
