result,reason,wave,score,turns,gold_left,tier,army,seed,shop_open,shop_buy,sell,convert,item_use,artefact_activate,army_ability,merge,deploy,buff_apply,capture,piece_lost
WIN,Wave-86 King checkmated,86,224100,1830,35063,Tier 1,Crown,1,0,284,0,129,68,0,70,279,433,2,379,329
WIN,FULL CLEAR — every King has fallen,150,464400,3490,5030,Tier 1,Crown,2,0,617,0,242,182,0,131,546,851,10,752,690
WIN,FULL CLEAR — every King has fallen,150,373400,3486,1000,Tier 1,Crown,3,0,601,0,297,191,0,133,530,825,155,743,679
LOSS,Resource starvation,54,93640,1108,0,Tier 1,Wild Hunt,1,0,121,0,72,27,0,49,100,226,1,206,205
WIN,Wave-81 King checkmated,81,206280,1687,1000,Tier 1,Wild Hunt,2,0,234,0,107,49,0,76,188,396,62,359,330
WIN,Wave-81 King checkmated,81,172670,1939,1053,Tier 1,Wild Hunt,3,0,261,0,221,76,0,73,144,436,2,350,383
WIN,Wave-60 King checkmated,60,126400,1342,10428,Tier 1,Old Guard,1,0,205,0,165,64,0,55,85,317,604,232,217
WIN,Wave-74 King checkmated,74,200540,1753,24245,Tier 1,Old Guard,2,0,299,0,218,94,0,69,120,433,134,310,354
WIN,Wave-61 King checkmated,61,115500,1316,7705,Tier 1,Old Guard,3,0,194,0,158,67,0,58,109,341,93,241,281
LOSS,Resource starvation,56,92000,991,0,Tier 1,Syndicate,1,0,137,0,62,35,0,16,112,232,3,199,219
WIN,FULL CLEAR — every King has fallen,150,377380,3227,1020,Tier 1,Syndicate,2,0,557,0,347,148,0,88,327,905,140,668,783
WIN,Wave-111 King checkmated,111,277280,2292,1144,Tier 1,Syndicate,3,0,379,0,240,125,0,56,230,625,7,467,549
WIN,Wave-58 King checkmated,58,239300,1181,1050,Tier 1,Cult,1,0,232,0,74,69,0,52,126,302,241,198,245
WIN,Wave-99 King checkmated,99,189400,2192,1040,Tier 1,Cult,2,0,253,0,243,80,1,92,140,486,391,397,417
WIN,Wave-86 King checkmated,86,187960,1610,969,Tier 1,Cult,3,0,223,0,166,55,0,77,163,408,166,364,344
WIN,Wave-51 King checkmated,51,207600,1359,9629,Tier 1,Horde,1,0,268,0,98,80,0,50,157,360,7,196,338
LOSS,Resource starvation,50,186260,1267,30,Tier 1,Horde,2,0,266,0,70,84,0,47,156,325,4,173,316
WIN,Wave-52 King checkmated,52,116900,1045,1040,Tier 1,Horde,3,0,131,0,73,26,0,48,130,295,15,196,261
WIN,Wave-86 King checkmated,86,224100,1830,35063,Tier 2,Crown,1,0,284,0,129,68,0,70,279,433,2,379,329
WIN,FULL CLEAR — every King has fallen,150,464400,3490,5030,Tier 2,Crown,2,0,617,0,242,182,0,131,546,851,10,752,690
WIN,FULL CLEAR — every King has fallen,150,373400,3486,1000,Tier 2,Crown,3,0,601,0,297,191,0,133,530,825,155,743,679
LOSS,Resource starvation,54,93640,1108,0,Tier 2,Wild Hunt,1,0,121,0,72,27,0,49,100,226,1,206,205
WIN,Wave-81 King checkmated,81,206280,1687,1000,Tier 2,Wild Hunt,2,0,234,0,107,49,0,76,188,396,62,359,330
WIN,Wave-81 King checkmated,81,172670,1939,1053,Tier 2,Wild Hunt,3,0,261,0,221,76,0,73,144,436,2,350,383
WIN,Wave-60 King checkmated,60,126400,1342,10428,Tier 2,Old Guard,1,0,205,0,165,64,0,55,85,317,604,232,217
WIN,Wave-74 King checkmated,74,200540,1753,24245,Tier 2,Old Guard,2,0,299,0,218,94,0,69,120,433,134,310,354
WIN,Wave-61 King checkmated,61,115500,1316,7705,Tier 2,Old Guard,3,0,194,0,158,67,0,58,109,341,93,241,281
LOSS,Resource starvation,56,92000,991,0,Tier 2,Syndicate,1,0,137,0,62,35,0,16,112,232,3,199,219
WIN,FULL CLEAR — every King has fallen,150,377380,3227,1020,Tier 2,Syndicate,2,0,557,0,347,148,0,88,327,905,140,668,783
WIN,Wave-111 King checkmated,111,277280,2292,1144,Tier 2,Syndicate,3,0,379,0,240,125,0,56,230,625,7,467,549
WIN,Wave-58 King checkmated,58,239300,1181,1050,Tier 2,Cult,1,0,232,0,74,69,0,52,126,302,241,198,245
WIN,Wave-99 King checkmated,99,189400,2192,1040,Tier 2,Cult,2,0,253,0,243,80,1,92,140,486,391,397,417
WIN,Wave-86 King checkmated,86,187960,1610,969,Tier 2,Cult,3,0,223,0,166,55,0,77,163,408,166,364,344
WIN,Wave-51 King checkmated,51,207600,1359,9629,Tier 2,Horde,1,0,268,0,98,80,0,50,157,360,7,196,338
LOSS,Resource starvation,50,186260,1267,30,Tier 2,Horde,2,0,266,0,70,84,0,47,156,325,4,173,316
WIN,Wave-52 King checkmated,52,116900,1045,1040,Tier 2,Horde,3,0,131,0,73,26,0,48,130,295,15,196,261
WIN,Wave-98 King checkmated,98,222400,1985,1228,Tier 3,Crown,1,0,320,0,148,126,0,78,315,444,647,400,318
WIN,FULL CLEAR — every King has fallen,150,568660,3360,4792,Tier 3,Crown,2,0,570,0,197,98,0,133,589,831,6,760,679
WIN,FULL CLEAR — every King has fallen,150,448640,3374,6694,Tier 3,Crown,3,0,553,0,139,160,0,134,634,840,6,748,702
LOSS,Resource starvation,81,154600,2049,5,Tier 3,Wild Hunt,1,0,226,0,256,66,0,78,114,443,2,352,408
LOSS,Resource starvation,51,105080,1325,0,Tier 3,Wild Hunt,2,0,141,0,114,49,0,49,83,250,0,194,228
CAP,Outlived the step cap,81,242060,8001,0,Tier 3,Wild Hunt,3,0,245,0,187,74,0,77,153,422,4,352,381
WIN,Wave-99 King checkmated,99,298400,2267,26105,Tier 3,Old Guard,1,0,361,0,325,103,0,91,157,589,134,449,502
WIN,Wave-71 King checkmated,71,186700,1551,20905,Tier 3,Old Guard,2,0,246,0,195,71,0,65,107,396,154,291,323
WIN,Wave-100 King checkmated,100,210890,2016,15316,Tier 3,Old Guard,3,0,302,0,245,84,0,92,165,543,95,368,454
WIN,FULL CLEAR — every King has fallen,150,966950,3930,27732,Tier 3,Syndicate,1,0,1024,0,243,298,0,147,472,1053,134,570,938
