result,reason,wave,score,turns,gold_left,tier,army,seed,shop_open,shop_buy,sell,convert,item_use,artefact_activate,army_ability,merge,deploy,buff_apply,capture,piece_lost
LOSS,Resource starvation,45,77700,567,5620,Tier 1,Crown,1,0,0,0,0,0,0,25,103,109,0,163,93
LOSS,Resource starvation,48,84300,630,6280,Tier 1,Crown,2,0,0,0,0,0,0,22,114,109,0,178,102
LOSS,Resource starvation,72,152600,909,11375,Tier 1,Crown,3,0,0,0,0,0,0,42,185,188,0,303,154
LOSS,Resource starvation,16,8800,277,435,Tier 1,Wild Hunt,1,0,0,0,0,0,0,13,19,23,0,37,31
LOSS,Resource starvation,28,30400,481,2015,Tier 1,Wild Hunt,2,0,0,0,0,0,0,27,45,52,0,87,55
LOSS,Resource starvation,36,47000,561,3275,Tier 1,Wild Hunt,3,0,0,0,0,0,0,32,62,72,0,117,78
LOSS,Resource starvation,70,129300,1036,18070,Tier 1,Old Guard,1,0,0,0,0,1,0,63,151,167,108,289,145
LOSS,Resource starvation,26,15800,476,1880,Tier 1,Old Guard,2,0,0,0,0,1,0,23,31,42,50,62,40
LOSS,Resource starvation,75,141100,1144,19360,Tier 1,Old Guard,3,0,0,0,0,1,0,70,167,185,129,322,160
LOSS,Resource starvation,45,60800,561,1690,Tier 1,Syndicate,1,0,0,0,0,0,0,39,76,109,0,123,106
LOSS,Resource starvation,9,2700,137,0,Tier 1,Syndicate,2,0,0,0,0,0,0,7,5,12,0,11,18
LOSS,Resource starvation,11,3100,168,40,Tier 1,Syndicate,3,0,0,0,0,0,0,6,8,12,0,13,17
LOSS,Resource starvation,46,110000,650,6590,Tier 1,Cult,1,0,0,0,0,0,0,42,91,128,43,161,128
LOSS,Resource starvation,41,56300,554,3920,Tier 1,Cult,2,0,0,0,0,0,1,32,70,87,86,130,88
LOSS,Resource starvation,38,53000,440,3690,Tier 1,Cult,3,0,0,0,0,0,0,30,64,82,68,119,77
