result,reason,wave,score,turns,gold_left,tier,army,seed,shop_open,shop_buy,sell,convert,item_use,artefact_activate,army_ability,merge,deploy,buff_apply,capture,piece_lost
LOSS,Back-row breach,16,2700,261,0,Tier 1,Crown,1,0,7,0,12,1,0,5,0,28,0,21,39
LOSS,Back-row breach,17,4300,293,0,Tier 1,Crown,2,0,10,3,15,3,0,6,0,34,0,29,44
LOSS,Back-row breach,27,11500,513,0,Tier 1,Crown,3,0,29,21,29,8,0,11,4,72,0,57,81
LOSS,Back-row breach,51,19500,880,0,Tier 1,Wild Hunt,1,0,41,27,34,6,0,43,6,93,0,76,102
LOSS,Resource starvation,9,500,202,0,Tier 1,Wild Hunt,2,0,1,0,4,2,0,9,0,5,0,5,16
LOSS,Back-row breach,20,3000,364,0,Tier 1,Wild Hunt,3,0,9,4,11,2,0,20,0,23,0,20,34
WIN,Wave-52 King checkmated,52,67900,1213,2471,Tier 1,Old Guard,1,0,192,1,86,66,0,48,62,256,340,149,228
WIN,Wave-58 King checkmated,58,95750,1374,1012,Tier 1,Old Guard,2,0,222,5,109,67,0,57,63,295,329,184,230
LOSS,Resource starvation,19,6640,409,148,Tier 1,Old Guard,3,0,32,0,35,11,0,19,2,59,37,38,68
LOSS,Back-row breach,18,2900,263,0,Tier 1,Syndicate,1,0,9,3,7,0,0,4,0,24,0,15,31
LOSS,Back-row breach,30,5600,402,0,Tier 1,Syndicate,2,0,15,6,9,1,0,5,1,35,0,23,42
LOSS,Back-row breach,18,700,213,0,Tier 1,Syndicate,3,0,3,0,2,0,0,3,0,12,0,5,19
LOSS,Back-row breach,26,22900,445,0,Tier 1,Cult,1,0,34,8,12,8,0,18,2,48,19,28,57
LOSS,Back-row breach,19,5000,321,0,Tier 1,Cult,2,0,11,0,18,1,1,15,0,32,33,27,42
LOSS,Resource starvation,9,200,127,0,Tier 1,Cult,3,0,2,0,1,1,0,7,0,3,10,2,13
LOSS,Back-row breach,28,3900,481,0,Tier 1,Horde,1,0,19,7,10,3,0,25,1,85,0,23,98
LOSS,Back-row breach,27,4000,467,0,Tier 1,Horde,2,0,18,8,11,3,0,24,2,82,0,26,96
LOSS,Back-row breach,18,2400,305,0,Tier 1,Horde,3,0,9,0,16,0,0,14,1,58,0,20,72
LOSS,Back-row breach,16,2700,261,0,Tier 2,Crown,1,0,7,0,12,1,0,5,0,28,0,21,39
LOSS,Back-row breach,17,4300,293,0,Tier 2,Crown,2,0,10,3,15,3,0,6,0,34,0,29,44
LOSS,Back-row breach,27,11500,513,0,Tier 2,Crown,3,0,29,21,29,8,0,11,4,72,0,57,81
LOSS,Back-row breach,51,19500,880,0,Tier 2,Wild Hunt,1,0,41,27,34,6,0,43,6,93,0,76,102
LOSS,Resource starvation,9,500,202,0,Tier 2,Wild Hunt,2,0,1,0,4,2,0,9,0,5,0,5,16
LOSS,Back-row breach,20,3000,364,0,Tier 2,Wild Hunt,3,0,9,4,11,2,0,20,0,23,0,20,34
WIN,Wave-52 King checkmated,52,67900,1213,2471,Tier 2,Old Guard,1,0,192,1,86,66,0,48,62,256,340,149,228
WIN,Wave-58 King checkmated,58,95750,1374,1012,Tier 2,Old Guard,2,0,222,5,109,67,0,57,63,295,329,184,230
